ID,CPUmodel,GPUmodel,TotCred,RAC
46389,INTEL(R) CORE(TM) I5-7400 CPU @ 3.00GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE GTX 750 TI|1|2047MB|52647|300],514981.800234,916.277715
920691,INTEL(R) CORE(TM) I7-3770K CPU @ 3.50GHZ [FAMILY 6 MODEL 58 STEPPING 9],[CUDA|NVIDIA GEFORCE RTX 2080|1|8191MB|52686|300],862626.900271,2.957566
916118,INTEL(R) CORE(TM) I7-7700K CPU @ 4.20GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE RTX 2080|1|8191MB|52824|300],1.018458165071e6,4.737644
2786736,AMD RYZEN 7 2700 EIGHT-CORE PROCESSOR [FAMILY 23 MODEL 8 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 1660 SUPER|1|6143MB|51694|300],355830.0,369.011789
2839249,INTEL(R) XEON(R) CPU L5639 @ 2.13GHZ [FAMILY 6 MODEL 44 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 1070|1|4095MB|47212|300],836450.0,4363.453996
2786334,AMD RYZEN 7 2700 EIGHT-CORE PROCESSOR [FAMILY 23 MODEL 8 STEPPING 2],[CUDA|NVIDIA GEFORCE RTX 3060|1|12287MB|52737|300],528628.0,1299.715698
2797707,INTEL(R) XEON(R) W-2295 CPU @ 3.00GHZ [FAMILY 6 MODEL 85 STEPPING 7],[CUDA|NVIDIA GEFORCE RTX 3090|1|24575MB|52824|300],4.536092e6,17260.651425
2690366,AMD RYZEN 5 3600 6-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CAL|AMD RADEON(TM) R9 290X|1|4096MB||200],1.245087e6,3600.428914
1465203,INTEL(R) CORE(TM) I7-5820K CPU @ 3.30GHZ [FAMILY 6 MODEL 63 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 960|1|4095MB|51694|300],448192.337778,22.781027
56805,INTEL(R) XEON(R) CPU X5650 @ 2.67GHZ [FAMILY 6 MODEL 44 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 1070|1|8191MB|52802|300],2.635286934733e6,3391.491743
36571,AMD RYZEN 9 3900X 12-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CUDA|NVIDIA GEFORCE GTX 1070 TI|1|8191MB|52824|300],2.278398266159e6,2833.602195
