ID,CPUmodel,GPUmodel,TotCred,RAC
309,AMD RYZEN 9 5900X 12-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 2],NONE,382196.025853,842.555634
311,INTEL(R) CORE(TM) I5-4460  CPU @ 3.20GHZ [FAMILY 6 MODEL 60 STEPPING 3],NONE,818400.911175,364.217114
312,AMD RYZEN 9 7900X 12-CORE PROCESSOR [FAMILY 25 MODEL 97 STEPPING 2],NONE,513830.864963,1575.296721
374,CELERON(R) DUAL-CORE CPU T3500 @ 2.10GHZ [FAMILY 6 MODEL 23 STEPPING 10],NONE,45493.01441,105.198189
728,INTEL(R) CORE(TM)2 QUAD CPU Q9400 @ 2.66GHZ [FAMILY 6 MODEL 23 STEPPING 10],[CUDA|NVIDIA GEFORCE GTX 1050 TI|1|4095MB|52849|300],2.570005303243e6,16.130805
846,INTEL(R) CELERON(R) CPU 2.53GHZ [FAMILY 15 MODEL 4 STEPPING 1],NONE,40095.323959,19.267934
885,AMD OPTERON(TM) PROCESSOR 146 [FAMILY 15 MODEL 39 STEPPING 1],NONE,172330.039799,8.882036
1719,INTEL(R) CORE(TM) I5-2400 CPU @ 3.10GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CUDA|GEFORCE GTX 1050 TI|1|4095MB|39836|102],1.315190044641e6,203.542991
2160,AMD RYZEN 7 5700X 8-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 2],[CAL|AMD RADEON RX 6600|2|8176MB||200],3.577992853937e6,1970.027645
2217,AMD PHENOM(TM) II X6 1055T PROCESSOR [FAMILY 16 MODEL 10 STEPPING 0],[CUDA|NVIDIA GEFORCE GTX 1060 6GB|1|4095MB|52647|300],3.663476353056e6,528.336703
2860,INTEL(R) PENTIUM(R) 4 CPU 3.40GHZ [FAMILY 15 MODEL 4 STEPPING 3],NONE,176843.380416,1.299577
3023,APPLE M1 MAX,[OPENCL_GPU|APPLE M1 MAX|1|21845MB|102],3.98725378101e6,499.609647
3186,AMD PHENOM(TM) II X4 965 PROCESSOR [FAMILY 16 MODEL 4 STEPPING 3],[CAL|ATI RADEON HD 5800/5900 SERIES (CYPRESS/HEMLOCK)|1|1024MB|1.4.1848|102],480361.424275,15.437443
3446,INTEL(R) CORE(TM) I7-9700K CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 13],[CUDA|NVIDIA GEFORCE GTX 1060 6GB|1|6143MB|52698|300][CAL|AMD RADEON HD 6790/6850/6870 SERIES (BARTS)|1|1024MB|1.4.1848|102],4.012721920607e6,1452.845763
4191,AMD PHENOM(TM) II X6 1090T PROCESSOR [FAMILY 16 MODEL 10 STEPPING 0],[CUDA|NVIDIA GEFORCE RTX 2070|1|8191MB|51694|300],2.009972863333e6,840.98895
4692,INTEL(R) CORE(TM) I7-3770 CPU @ 3.40GHZ [FAMILY 6 MODEL 58 STEPPING 9],[CUDA|NVIDIA GEFORCE GTX 1070 TI|2|8191MB|51123|300],2.873667636292e6,254.84704
4775,AMD RYZEN 7 2700X EIGHT-CORE PROCESSOR [FAMILY 23 MODEL 8 STEPPING 2],[CUDA|NVIDIA GEFORCE GTX 1660|1|6144MB|47411|300],3.367239822691e6,33.961634
4889,INTEL(R) CORE(TM) I7-4790 CPU @ 3.60GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|NVIDIA GEFORCE GTX 750 TI|1|2047MB|51694|300],2.653148675101e6,388.341746
4906,AMD RYZEN 7 1700 EIGHT-CORE PROCESSOR [FAMILY 23 MODEL 1 STEPPING 1],[CAL|AMD RADEON(TM) RX 6400|1|4080MB||200],1.68770138431e6,4.855999
6196,INTEL(R) CORE(TM) I7-2600 CPU @ 3.40GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CUDA|GEFORCE GT 530|1|2048MB|39135|101],1.930205060985e6,136.319243
6477,INTEL(R) CORE(TM) I5-2310 CPU @ 2.90GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CUDA|GEFORCE GT 530|1|2048MB|39125|101],2.684367708374e6,119.094215
6556,INTEL(R) PENTIUM(R) CPU P6200 @ 2.13GHZ [FAMILY 6 MODEL 37 STEPPING 5],NONE,1.033146243804e6,21.897971
6768,INTEL(R) PENTIUM(R) CPU G2020 @ 2.90GHZ [FAMILY 6 MODEL 58 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS|1|1400MB||102],7.224477411315e6,32.888591
7385,INTEL(R) CORE(TM) I7-6700K CPU @ 4.00GHZ [X86 FAMILY 6 MODEL 94 STEPPING 3],[CAL|AMD RADEON R9 M395X COMPUTE ENGINE|1|4096MB||102],1.142129007788e6,52.77229
7486,INTEL(R) CORE(TM) I3 CPU 540 @ 3.07GHZ [FAMILY 6 MODEL 37 STEPPING 5],NONE,513720.049721,60.713531
8317,INTEL(R) CORE(TM) I7-8700K CPU @ 3.70GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|NVIDIA GEFORCE GTX 750 TI|2|2048MB|47196|300][INTEL|INTEL(R) UHD GRAPHICS 630|1|13043MB||300],4.2435568876e6,10085.723551
8831,AMD RYZEN 9 5950X 16-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 2],[CUDA|NVIDIA GEFORCE RTX 4090|1|24563MB|53141|300],4.723004110189e6,13501.738983
9304,INTEL(R) CORE(TM) I7-6700 CPU @ 3.40GHZ [FAMILY 6 MODEL 94 STEPPING 3],NONE,442909.11329,36.739686
9384,INTEL(R) CORE(TM) I7-2600K CPU @ 3.40GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CAL|AMD RADEON HD 6800 SERIES|2|1024MB||102],4.663663458698e6,125.740728
10787,INTEL(R) CORE(TM) I5-3470 CPU @ 3.20GHZ [FAMILY 6 MODEL 58 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS 2500|1|1400MB||102],1.905483633798e6,39.16356
11400,INTEL(R) CORE(TM) I3-2120 CPU @ 3.30GHZ [FAMILY 6 MODEL 42 STEPPING 7],NONE,2.148098677347e6,323.841044
11743,AMD ATHLON(TM) II X3 445 PROCESSOR [FAMILY 16 MODEL 5 STEPPING 3],[CAL|ATI RADEON HD 5400/R5 210 SERIES (CEDAR)|1|1024MB|1.4.1848|102],2.476292789904e6,29.41982
12168,APPLE M2,[OPENCL_GPU|APPLE M2|1|5461MB|102],117625.895665,128.965042
12329,AMD RYZEN 9 5900X 12-CORE PROCESSOR [FAMILY 25 MODEL 33 STEPPING 0],[CUDA|NVIDIA GEFORCE RTX 3080|1|10239MB|53129|300],1.955042206259e6,115.708994
12896,INTEL(R) CORE(TM) I5-3335S CPU @ 2.70GHZ [X86 FAMILY 6 MODEL 58 STEPPING 9],[CUDA|GEFORCE GT 640M|1|512MB|0|102],3.674995957784e6,958.936627
14289,INTEL(R) CORE(TM) I7-3520M CPU @ 2.90GHZ [X86 FAMILY 6 MODEL 58 STEPPING 9],[INTEL|HD GRAPHICS 4000|1|1536MB||102],584785.279322,39.696786
16345,INTEL(R) CORE(TM) I3-8100 CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 11],[INTEL|INTEL(R) UHD GRAPHICS 630|1|3221MB||300],8.59168583291e6,148.278922
16633,INTEL(R) CORE(TM)2 QUAD CPU Q9650 @ 3.00GHZ [FAMILY 6 MODEL 23 STEPPING 10],[CUDA|NVIDIA GEFORCE GTX 1050 TI|1|4095MB|51694|300],662799.059211,16.294145
17334,INTEL(R) CORE(TM) I7 CPU 880 @ 3.07GHZ [FAMILY 6 MODEL 30 STEPPING 5],[CUDA|NVIDIA GEFORCE GTX 750 TI|1|2047MB|51694|300],1.5311782190914e7,1351.902673
18034,AMD RYZEN 5 2400G WITH RADEON VEGA GRAPHICS [FAMILY 23 MODEL 17 STEPPING 0],[CAL|AMD RADEON(TM) RX VEGA 11 GRAPHICS|1|7205MB||200],2.5092802468682e7,542.613032
19083,PENTIUM(R) DUAL-CORE CPU E5700 @ 3.00GHZ [FAMILY 6 MODEL 23 STEPPING 10],NONE,1.2286056498125e7,118.720385
19479,11TH GEN INTEL(R) CORE(TM) I7-11850H @ 2.50GHZ [FAMILY 6 MODEL 141 STEPPING 1],[CUDA|NVIDIA T1200 LAPTOP GPU|1|4095MB|51766|300][INTEL|INTEL(R) UHD GRAPHICS|1|12781MB||300],1.838207256108e6,190.588007
20338,INTEL(R) CORE(TM) I3-2100 CPU @ 3.10GHZ [FAMILY 6 MODEL 42 STEPPING 7],NONE,6.440655058735e6,202.609842
20757,INTEL(R) CORE(TM) I7-3770 CPU @ 3.40GHZ [FAMILY 6 MODEL 58 STEPPING 9],[CUDA|GEFORCE GT 710|1|1024MB|38813|102][INTEL|INTEL(R) HD GRAPHICS 4000|1|1624MB||102],3.489882452006e6,2725.587226
