Project,FullName,Type,URL
wcg,World Community Grid,cpu,https://download.worldcommunitygrid.org/boinc/stats/host.gz
rosetta,Rosetta@home,cpu,http://boinc.bakerlab.org/rosetta/stats/host.gz
odlk1,Odlk1,cpu,https://boinc.multi-pool.info/latinsquares/stats/host.gz
yafu,YAFU,cpu,http://yafu.myfirewall.org/yafu/stats/host.gz
tngrid,Tn-grid,cpu,http://gene.disi.unitn.it/test/stats/host.gz
numf,Numberfields@home,cpu,http://numberfields.asu.edu/NumberFields/stats/host.gz
nfs,Nfs@home,cpu,https://escatter11.fullerton.edu/nfs/stats/host.gz
universe,Universe@home,cpu,https://universeathome.pl/universe/stats/host.gz
lhc,LHC@Home,cpu,https://lhcathome.cern.ch/lhcathome/stats/host.gz
yoyo,Yoyo@home,cpu,http://www.rechenkraft.net/yoyo/stats/host.gz
sidock,Sidock@home,cpu,https://www.sidock.si/sidock/stats/host.gz
amicable,Amicable Numbers,gpu,https://sech.me/boinc/Amicable/stats/host.gz
milkyway,Milkyway@home,gpu,http://milkyway.cs.rpi.edu/milkyway/stats/host.gz
srbase,Srbase,gpu,http://srbase.my-firewall.org/sr5/stats/host.gz
gpug,Gpugrid,gpu,https://www.gpugrid.net/stats/host.gz
asteroids,Asteroids@home,gpu,http://asteroidsathome.net/boinc/stats/host.gz
minecraft,Minecraft@home,gpu,https://minecraftathome.com/minecrafthome/stats/host.gz
